Compliance	Volume Fraction	Max Stress	Stress Integral 4	Stress Integral 12	Stress Integral 40
1.283e-05	0.1474	9.616e+01	1.393e+01	4.342e+01	7.549e+01
3.878e-06	0.1645	3.408e+02	5.391e+01	1.765e+02	2.796e+02
2.517e-06	0.1784	3.420e+02	5.401e+01	1.770e+02	2.805e+02
2.037e-06	0.1867	3.353e+02	5.330e+01	1.736e+02	2.751e+02
1.657e-06	0.1919	3.296e+02	5.341e+01	1.710e+02	2.706e+02
1.395e-06	0.1938	3.207e+02	5.332e+01	1.667e+02	2.633e+02
9.042e-07	0.1987	2.871e+02	5.138e+01	1.503e+02	2.359e+02
7.951e-07	0.1989	2.813e+02	5.138e+01	1.477e+02	2.311e+02
6.715e-07	0.1995	2.675e+02	5.051e+01	1.412e+02	2.199e+02
5.596e-07	0.2004	2.509e+02	4.936e+01	1.337e+02	2.063e+02
5.094e-07	0.2009	2.446e+02	4.897e+01	1.310e+02	2.011e+02
4.724e-07	0.2014	2.372e+02	4.846e+01	1.278e+02	1.950e+02
4.436e-07	0.2016	2.318e+02	4.813e+01	1.256e+02	1.906e+02
4.122e-07	0.2018	2.258e+02	4.774e+01	1.231e+02	1.858e+02
3.940e-07	0.2019	2.235e+02	4.763e+01	1.220e+02	1.839e+02
3.751e-07	0.2021	2.216e+02	4.758e+01	1.211e+02	1.824e+02
3.526e-07	0.2025	2.175e+02	4.738e+01	1.191e+02	1.790e+02
3.409e-07	0.2024	2.158e+02	4.736e+01	1.183e+02	1.776e+02
3.279e-07	0.2025	2.145e+02	4.737e+01	1.177e+02	1.765e+02
3.161e-07	0.2027	2.134e+02	4.734e+01	1.172e+02	1.756e+02
3.078e-07	0.2027	2.124e+02	4.728e+01	1.168e+02	1.748e+02
3.017e-07	0.2025	2.118e+02	4.724e+01	1.165e+02	1.743e+02
2.970e-07	0.2023	2.117e+02	4.724e+01	1.164e+02	1.743e+02
2.919e-07	0.2022	2.116e+02	4.724e+01	1.163e+02	1.742e+02
2.898e-07	0.2021	2.116e+02	4.724e+01	1.163e+02	1.742e+02
2.853e-07	0.2020	2.120e+02	4.731e+01	1.164e+02	1.745e+02
2.842e-07	0.2019	2.121e+02	4.732e+01	1.164e+02	1.746e+02
2.806e-07	0.2021	2.121e+02	4.735e+01	1.164e+02	1.746e+02
2.797e-07	0.2021	2.123e+02	4.737e+01	1.165e+02	1.747e+02
2.792e-07	0.2020	2.123e+02	4.738e+01	1.165e+02	1.747e+02
2.791e-07	0.2015	2.126e+02	4.745e+01	1.167e+02	1.750e+02
2.793e-07	0.2011	2.125e+02	4.747e+01	1.167e+02	1.749e+02
2.797e-07	0.2008	2.122e+02	4.748e+01	1.166e+02	1.747e+02
2.799e-07	0.2007	2.120e+02	4.748e+01	1.165e+02	1.745e+02
2.799e-07	0.2007	2.120e+02	4.748e+01	1.165e+02	1.745e+02
2.807e-07	0.2004	2.124e+02	4.752e+01	1.167e+02	1.749e+02
2.813e-07	0.2002	2.124e+02	4.751e+01	1.167e+02	1.748e+02
2.815e-07	0.2002	2.124e+02	4.752e+01	1.167e+02	1.749e+02
2.817e-07	0.2001	2.125e+02	4.752e+01	1.167e+02	1.749e+02
2.817e-07	0.2001	2.125e+02	4.752e+01	1.167e+02	1.749e+02
2.817e-07	0.2001	2.124e+02	4.752e+01	1.167e+02	1.749e+02
2.817e-07	0.2001	2.124e+02	4.752e+01	1.167e+02	1.749e+02
2.819e-07	0.2000	2.124e+02	4.752e+01	1.167e+02	1.748e+02
2.820e-07	0.2000	2.123e+02	4.752e+01	1.167e+02	1.748e+02
2.820e-07	0.2000	2.124e+02	4.752e+01	1.167e+02	1.748e+02
2.820e-07	0.2000	2.124e+02	4.752e+01	1.167e+02	1.748e+02
2.820e-07	0.2000	2.123e+02	4.752e+01	1.167e+02	1.748e+02
2.820e-07	0.2000	2.123e+02	4.752e+01	1.167e+02	1.748e+02
2.820e-07	0.2000	2.122e+02	4.751e+01	1.167e+02	1.747e+02
2.820e-07	0.2000	2.123e+02	4.751e+01	1.167e+02	1.747e+02
2.820e-07	0.2000	2.122e+02	4.751e+01	1.167e+02	1.747e+02
2.820e-07	0.2000	2.121e+02	4.751e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.116e+02	4.747e+01	1.164e+02	1.742e+02
2.820e-07	0.2000	2.116e+02	4.747e+01	1.164e+02	1.742e+02
2.820e-07	0.2000	2.118e+02	4.748e+01	1.165e+02	1.744e+02
2.821e-07	0.2000	2.121e+02	4.750e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.165e+02	1.745e+02
2.820e-07	0.2000	2.119e+02	4.748e+01	1.165e+02	1.745e+02
2.820e-07	0.2000	2.119e+02	4.748e+01	1.165e+02	1.745e+02
2.820e-07	0.2000	2.119e+02	4.748e+01	1.165e+02	1.745e+02
2.820e-07	0.2000	2.119e+02	4.748e+01	1.165e+02	1.745e+02
2.821e-07	0.2000	2.119e+02	4.748e+01	1.165e+02	1.745e+02
2.820e-07	0.2000	2.119e+02	4.749e+01	1.165e+02	1.745e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.745e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.745e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.745e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.745e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.745e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.745e+02
2.820e-07	0.2000	2.121e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.121e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.121e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.121e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.745e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.745e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.745e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.745e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.745e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.121e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.121e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.121e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.121e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.121e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.121e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.121e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.121e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.121e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.746e+02
2.328e-07	0.1987	2.083e+02	4.823e+01	1.162e+02	1.718e+02
2.321e-07	0.2005	2.080e+02	4.816e+01	1.160e+02	1.716e+02
2.326e-07	0.2003	2.081e+02	4.817e+01	1.161e+02	1.716e+02
2.332e-07	0.2000	2.074e+02	4.807e+01	1.157e+02	1.710e+02
2.310e-07	0.2000	2.064e+02	4.799e+01	1.153e+02	1.702e+02
2.276e-07	0.1999	2.053e+02	4.794e+01	1.149e+02	1.694e+02
