Compliance	Volume Fraction	Max Stress
1.698e-11	0.2506	2.519e+00
8.553e-12	0.2586	8.696e+00
6.748e-12	0.2658	9.210e+00
5.183e-12	0.2720	1.032e+01
4.357e-12	0.2750	1.094e+01
3.813e-12	0.2767	1.127e+01
2.970e-12	0.2795	1.133e+01
2.585e-12	0.2806	1.093e+01
2.234e-12	0.2817	1.032e+01
1.918e-12	0.2825	9.687e+00
1.820e-12	0.2826	9.418e+00
1.677e-12	0.2829	8.982e+00
1.532e-12	0.2832	8.652e+00
1.444e-12	0.2834	8.417e+00
1.407e-12	0.2835	8.305e+00
1.369e-12	0.2836	8.221e+00
1.319e-12	0.2838	8.089e+00
1.294e-12	0.2839	7.982e+00
1.271e-12	0.2839	7.854e+00
1.252e-12	0.2840	7.774e+00
1.209e-12	0.2842	7.685e+00
9.973e-13	0.2682	7.302e+00
9.977e-13	0.2682	7.299e+00
9.741e-13	0.2735	7.276e+00
9.748e-13	0.2783	7.283e+00
9.463e-13	0.2822	7.197e+00
9.346e-13	0.2837	7.116e+00
9.077e-13	0.2850	7.059e+00
8.908e-13	0.2859	7.025e+00
8.713e-13	0.2864	6.969e+00
8.594e-13	0.2869	6.924e+00
8.549e-13	0.2871	6.901e+00
8.452e-13	0.2876	6.869e+00
8.334e-13	0.2880	6.815e+00
8.280e-13	0.2882	6.794e+00
8.203e-13	0.2884	6.747e+00
8.171e-13	0.2889	6.741e+00
8.048e-13	0.2892	6.683e+00
7.935e-13	0.2896	6.622e+00
7.881e-13	0.2896	6.604e+00
7.843e-13	0.2898	6.589e+00
7.819e-13	0.2898	6.581e+00
7.766e-13	0.2898	6.560e+00
7.025e-13	0.2805	6.357e+00
7.026e-13	0.2805	6.358e+00
7.005e-13	0.2841	6.354e+00
7.014e-13	0.2870	6.359e+00
6.981e-13	0.2892	6.354e+00
6.952e-13	0.2910	6.350e+00
6.899e-13	0.2914	6.325e+00
6.871e-13	0.2913	6.310e+00
6.859e-13	0.2915	6.305e+00
6.830e-13	0.2914	6.295e+00
6.812e-13	0.2915	6.291e+00
6.799e-13	0.2918	6.288e+00
6.786e-13	0.2920	6.287e+00
6.770e-13	0.2923	6.277e+00
6.765e-13	0.2925	6.276e+00
6.761e-13	0.2926	6.272e+00
6.757e-13	0.2928	6.272e+00
6.754e-13	0.2928	6.271e+00
6.749e-13	0.2928	6.271e+00
6.747e-13	0.2929	6.271e+00
6.745e-13	0.2930	6.271e+00
6.742e-13	0.2931	6.270e+00
6.661e-13	0.2888	6.252e+00
6.661e-13	0.2888	6.252e+00
6.682e-13	0.2914	6.254e+00
6.685e-13	0.2931	6.253e+00
6.678e-13	0.2943	6.251e+00
6.672e-13	0.2953	6.249e+00
6.666e-13	0.2961	6.247e+00
6.661e-13	0.2967	6.245e+00
6.657e-13	0.2973	6.244e+00
6.652e-13	0.2977	6.242e+00
6.647e-13	0.2981	6.239e+00
6.643e-13	0.2984	6.237e+00
6.638e-13	0.2986	6.235e+00
6.632e-13	0.2989	6.234e+00
6.628e-13	0.2990	6.233e+00
6.611e-13	0.2991	6.213e+00
6.603e-13	0.2991	6.207e+00
6.603e-13	0.2991	6.207e+00
6.603e-13	0.2991	6.207e+00
6.594e-13	0.2990	6.201e+00
6.586e-13	0.2990	6.162e+00
6.586e-13	0.2990	6.162e+00
