Compliance	Volume Fraction	Max Stress
4.235e-10	0.1032	1.596e+00
2.621e-10	0.1177	1.580e+01
1.668e-10	0.1274	1.712e+01
1.255e-10	0.1341	1.795e+01
8.869e-11	0.1394	2.701e+01
7.470e-11	0.1405	3.263e+01
5.503e-11	0.1414	3.692e+01
4.235e-11	0.1418	3.714e+01
3.477e-11	0.1419	3.505e+01
2.994e-11	0.1421	3.317e+01
2.599e-11	0.1423	3.147e+01
2.308e-11	0.1425	2.970e+01
2.157e-11	0.1426	2.919e+01
1.950e-11	0.1427	2.844e+01
1.823e-11	0.1429	2.731e+01
1.726e-11	0.1430	2.602e+01
1.631e-11	0.1432	2.481e+01
1.564e-11	0.1433	2.400e+01
1.491e-11	0.1435	2.359e+01
1.407e-11	0.1437	2.283e+01
1.346e-11	0.1438	2.211e+01
1.298e-11	0.1439	2.133e+01
1.248e-11	0.1441	2.033e+01
1.219e-11	0.1442	1.993e+01
1.201e-11	0.1445	1.984e+01
1.071e-11	0.1448	1.904e+01
1.000e-11	0.1450	1.845e+01
9.851e-12	0.1450	1.827e+01
9.607e-12	0.1450	1.785e+01
9.402e-12	0.1450	1.750e+01
8.882e-12	0.1451	1.620e+01
8.670e-12	0.1451	1.555e+01
8.395e-12	0.1451	1.489e+01
8.354e-12	0.1453	1.486e+01
8.198e-12	0.1454	1.473e+01
7.966e-12	0.1455	1.448e+01
7.843e-12	0.1455	1.429e+01
7.726e-12	0.1455	1.409e+01
7.534e-12	0.1456	1.373e+01
7.458e-12	0.1461	1.370e+01
7.233e-12	0.1462	1.350e+01
6.351e-12	0.1261	1.269e+01
6.355e-12	0.1261	1.270e+01
6.282e-12	0.1332	1.252e+01
6.217e-12	0.1381	1.240e+01
6.094e-12	0.1415	1.225e+01
5.994e-12	0.1439	1.213e+01
5.779e-12	0.1443	1.147e+01
5.673e-12	0.1445	1.127e+01
5.587e-12	0.1446	1.107e+01
5.435e-12	0.1447	1.069e+01
5.353e-12	0.1448	1.057e+01
5.287e-12	0.1449	1.047e+01
5.252e-12	0.1450	1.041e+01
5.210e-12	0.1451	1.032e+01
5.202e-12	0.1451	1.031e+01
5.162e-12	0.1452	1.025e+01
5.122e-12	0.1453	1.019e+01
5.108e-12	0.1454	1.015e+01
5.076e-12	0.1455	1.003e+01
5.065e-12	0.1455	9.970e+00
5.059e-12	0.1457	9.965e+00
5.018e-12	0.1459	9.858e+00
5.008e-12	0.1460	9.833e+00
4.974e-12	0.1462	9.744e+00
4.968e-12	0.1463	9.739e+00
4.949e-12	0.1464	9.696e+00
4.927e-12	0.1466	9.641e+00
4.912e-12	0.1466	9.601e+00
4.900e-12	0.1470	9.590e+00
4.876e-12	0.1471	9.517e+00
4.871e-12	0.1471	9.506e+00
4.861e-12	0.1471	9.488e+00
4.840e-12	0.1471	9.451e+00
4.825e-12	0.1471	9.422e+00
4.819e-12	0.1473	9.416e+00
4.815e-12	0.1473	9.401e+00
4.808e-12	0.1474	9.377e+00
4.777e-12	0.1475	9.233e+00
4.773e-12	0.1476	9.227e+00
4.767e-12	0.1476	9.197e+00
4.755e-12	0.1476	9.183e+00
4.753e-12	0.1476	9.182e+00
4.402e-12	0.1405	8.860e+00
4.408e-12	0.1403	8.866e+00
4.381e-12	0.1437	8.767e+00
4.361e-12	0.1456	8.668e+00
4.333e-12	0.1469	8.613e+00
4.310e-12	0.1478	8.585e+00
4.292e-12	0.1484	8.560e+00
4.278e-12	0.1488	8.539e+00
4.267e-12	0.1492	8.520e+00
4.238e-12	0.1491	8.441e+00
4.231e-12	0.1491	8.424e+00
4.212e-12	0.1491	8.378e+00
4.196e-12	0.1491	8.348e+00
4.184e-12	0.1491	8.331e+00
4.154e-12	0.1491	8.294e+00
4.141e-12	0.1491	8.276e+00
4.140e-12	0.1491	8.274e+00
4.115e-12	0.1490	8.226e+00
4.105e-12	0.1490	8.232e+00
4.094e-12	0.1490	8.204e+00
4.093e-12	0.1490	8.203e+00
4.093e-12	0.1490	8.202e+00
4.079e-12	0.1490	8.178e+00
4.072e-12	0.1490	8.161e+00
4.071e-12	0.1490	8.160e+00
4.064e-12	0.1490	8.144e+00
4.062e-12	0.1490	8.137e+00
4.058e-12	0.1490	8.120e+00
4.056e-12	0.1490	8.105e+00
4.052e-12	0.1490	8.100e+00
4.049e-12	0.1490	8.096e+00
4.047e-12	0.1490	8.089e+00
4.044e-12	0.1490	8.084e+00
4.042e-12	0.1490	8.080e+00
4.040e-12	0.1490	8.078e+00
4.039e-12	0.1490	8.078e+00
4.037e-12	0.1491	8.080e+00
4.036e-12	0.1491	8.078e+00
4.032e-12	0.1492	8.055e+00
4.029e-12	0.1492	8.027e+00
4.029e-12	0.1492	8.027e+00
4.029e-12	0.1492	8.026e+00
3.978e-12	0.1477	7.998e+00
3.978e-12	0.1477	7.998e+00
3.980e-12	0.1481	7.997e+00
3.999e-12	0.1492	7.998e+00
3.996e-12	0.1494	7.996e+00
3.994e-12	0.1496	7.994e+00
3.992e-12	0.1497	7.992e+00
3.990e-12	0.1498	7.990e+00
3.989e-12	0.1498	7.988e+00
3.988e-12	0.1499	7.985e+00
3.987e-12	0.1499	7.982e+00
3.985e-12	0.1499	7.977e+00
3.979e-12	0.1499	7.958e+00
3.978e-12	0.1499	7.958e+00
3.978e-12	0.1499	7.958e+00
3.977e-12	0.1499	7.957e+00
3.969e-12	0.1498	7.952e+00
3.969e-12	0.1498	7.952e+00
3.969e-12	0.1498	7.952e+00
3.968e-12	0.1498	7.952e+00
3.968e-12	0.1498	7.952e+00
3.968e-12	0.1498	7.952e+00
3.968e-12	0.1499	7.952e+00
3.967e-12	0.1499	7.952e+00
3.967e-12	0.1499	7.951e+00
3.966e-12	0.1499	7.951e+00
3.966e-12	0.1500	7.951e+00
3.965e-12	0.1500	7.951e+00
3.965e-12	0.1500	7.951e+00
3.964e-12	0.1500	7.951e+00
3.964e-12	0.1500	7.951e+00
3.963e-12	0.1500	7.951e+00
3.963e-12	0.1500	7.951e+00
3.959e-12	0.1500	7.949e+00
3.959e-12	0.1500	7.949e+00
3.959e-12	0.1500	7.949e+00
3.959e-12	0.1500	7.949e+00
3.958e-12	0.1500	7.949e+00
3.958e-12	0.1500	7.949e+00
3.958e-12	0.1500	7.949e+00
3.956e-12	0.1499	7.948e+00
3.956e-12	0.1499	7.948e+00
