Max Stress (Pa)	Volume Fraction	Compliance	Stress integral
5.04e+01	0.2506	6.790e-09	1.508e+01
4.67e+02	0.2506	6.173e-09	1.253e+02
4.77e+02	0.2506	6.160e-09	1.279e+02
4.72e+02	0.2506	6.166e-09	1.266e+02
4.69e+02	0.2506	6.170e-09	1.260e+02
4.68e+02	0.2506	6.172e-09	1.256e+02
4.68e+02	0.2506	6.172e-09	1.255e+02
4.77e+02	0.2506	6.160e-09	1.279e+02
4.67e+02	0.2506	6.173e-09	1.253e+02
7.70e+02	0.2634	5.368e-09	2.055e+02
7.93e+02	0.2641	5.330e-09	2.119e+02
1.07e+03	0.2971	4.041e-09	2.868e+02
1.56e+03	0.3287	4.129e-09	4.142e+02
1.69e+03	0.3435	4.468e-09	4.493e+02
2.39e+03	0.3708	4.968e-09	6.382e+02
2.93e+03	0.3780	5.091e-09	7.878e+02
3.04e+03	0.3790	5.024e-09	8.170e+02
3.21e+03	0.3801	5.380e-09	8.649e+02
3.53e+03	0.3777	6.337e-09	9.506e+02
3.67e+03	0.3779	6.845e-09	9.880e+02
3.83e+03	0.3799	7.382e-09	1.031e+03
4.04e+03	0.3826	8.069e-09	1.087e+03
4.31e+03	0.3854	9.158e-09	1.160e+03
4.41e+03	0.3865	9.891e-09	1.186e+03
4.49e+03	0.3872	1.056e-08	1.209e+03
4.86e+03	0.3890	1.421e-08	1.307e+03
5.27e+03	0.3892	1.808e-08	1.418e+03
6.54e+03	0.3530	2.458e-08	1.773e+03
6.54e+03	0.3530	2.465e-08	1.771e+03
7.49e+03	0.3530	3.428e-08	2.030e+03
7.52e+03	0.3530	3.443e-08	2.036e+03
7.51e+03	0.3530	3.436e-08	2.033e+03
7.52e+03	0.3530	3.443e-08	2.036e+03
7.49e+03	0.3530	3.428e-08	2.030e+03
7.73e+03	0.3540	3.645e-08	2.095e+03
7.72e+03	0.3574	3.501e-08	2.089e+03
7.94e+03	0.3656	3.398e-08	2.148e+03
9.28e+03	0.3711	4.692e-08	2.564e+03
9.47e+03	0.3715	4.909e-08	2.692e+03
1.05e+04	0.3744	5.346e-08	2.918e+03
1.25e+04	0.3772	6.513e-08	3.401e+03
1.27e+04	0.3784	6.825e-08	3.432e+03
1.32e+04	0.3794	6.987e-08	3.578e+03
1.33e+04	0.3802	7.149e-08	3.619e+03
1.35e+04	0.3829	8.000e-08	3.675e+03
1.35e+04	0.3840	8.723e-08	3.690e+03
1.35e+04	0.3848	9.354e-08	3.699e+03
1.36e+04	0.3856	1.225e-07	3.718e+03
1.42e+04	0.3862	1.953e-07	3.874e+03
1.45e+04	0.3863	1.995e-07	3.958e+03
1.50e+04	0.3866	1.375e-07	4.071e+03
1.51e+04	0.3866	1.279e-07	4.092e+03
1.53e+04	0.3377	9.198e-06	4.211e+03
1.53e+04	0.3378	9.108e-06	4.209e+03
1.53e+04	0.3380	1.544e-07	4.190e+03
1.53e+04	0.3380	1.350e-07	4.211e+03
1.53e+04	0.3380	1.350e-07	4.211e+03
1.53e+04	0.3380	1.350e-07	4.211e+03
1.53e+04	0.3380	1.350e-07	4.211e+03
1.53e+04	0.3380	1.350e-07	4.211e+03
1.53e+04	0.3380	1.350e-07	4.211e+03
1.53e+04	0.3380	1.350e-07	4.211e+03
1.53e+04	0.3380	1.350e-07	4.211e+03
1.53e+04	0.3380	1.350e-07	4.211e+03
1.66e+04	0.3394	7.340e-07	4.587e+03
1.69e+04	0.3394	7.307e-07	4.671e+03
1.81e+04	0.3396	5.277e-07	4.967e+03
1.84e+04	0.3397	1.389e-06	5.037e+03
1.82e+04	0.3399	4.149e-07	5.002e+03
1.47e+04	0.3401	4.302e-05	4.090e+03
1.48e+04	0.3414	2.536e-05	4.152e+03
9.00e+03	0.3448	1.141e-07	2.501e+03
8.06e+04	0.3566	2.508e-05	2.227e+04
6.53e+04	0.3563	1.909e-04	1.777e+04
6.59e+04	0.3563	1.902e-04	1.793e+04
7.15e+04	0.3565	1.147e-04	1.946e+04
7.80e+04	0.3568	1.116e-04	2.123e+04
8.64e+04	0.3570	1.110e-04	2.351e+04
8.73e+04	0.3570	1.077e-04	2.376e+04
9.56e+04	0.3581	8.367e-05	2.599e+04
9.87e+04	0.3587	5.928e-05	2.683e+04
1.03e+05	0.2922	5.824e-03	2.816e+04
1.03e+05	0.2922	5.770e-03	2.816e+04
7.82e+04	0.2924	2.801e-05	2.249e+04
8.54e+04	0.2925	1.484e-03	2.538e+04
9.07e+04	0.2925	1.574e-03	2.619e+04
9.08e+04	0.2925	1.575e-03	2.620e+04
9.07e+04	0.2925	1.575e-03	2.619e+04
9.07e+04	0.2925	1.575e-03	2.619e+04
9.08e+04	0.2925	1.575e-03	2.620e+04
9.07e+04	0.2925	1.574e-03	2.619e+04
2.49e+04	0.2980	9.625e-03	7.175e+03
4.13e+04	0.3039	8.317e-03	1.155e+04
3.92e+04	0.3775	1.484e-05	1.103e+04
1.14e+04	0.4857	1.783e-07	3.090e+03
1.31e+04	0.4840	1.029e-06	3.544e+03
1.75e+04	0.4841	1.010e-07	4.751e+03
4.05e+04	0.4611	2.261e-07	1.084e+04
4.18e+04	0.4621	1.569e-07	1.137e+04
4.22e+04	0.4647	1.570e-07	1.148e+04
4.31e+04	0.4867	1.571e-07	1.173e+04
4.43e+04	0.4910	1.736e-07	1.207e+04
5.00e+04	0.4923	2.753e-07	1.361e+04
5.85e+04	0.4939	4.430e-07	1.592e+04
6.19e+04	0.4957	7.529e-07	1.685e+04
3.08e+04	0.4975	3.052e-04	8.385e+03
6.27e+04	0.4936	3.968e-06	1.706e+04
